,id,publication_year,cited_by_count,author_ids
134,https://openalex.org/W2151729029,2014.0,12.0,['https://openalex.org/A5077079119']
135,https://openalex.org/W2998892353,2020.0,12.0,"['https://openalex.org/A5009027881', 'https://openalex.org/A5069454833', 'https://openalex.org/A5077079119']"
136,https://openalex.org/W3165258188,2021.0,11.0,"['https://openalex.org/A5068455353', 'https://openalex.org/A5045466371', 'https://openalex.org/A5010079117', 'https://openalex.org/A5052048365', 'https://openalex.org/A5077079119']"
137,https://openalex.org/W2170312178,2003.0,21.0,"['https://openalex.org/A5077079119', 'https://openalex.org/A5071093940']"
138,https://openalex.org/W48178473,2008.0,16.0,"['https://openalex.org/A5075564798', 'https://openalex.org/A5077079119', 'https://openalex.org/A5034461489']"
139,https://openalex.org/W2604541780,2017.0,12.0,"['https://openalex.org/A5070509173', 'https://openalex.org/A5036780061', 'https://openalex.org/A5077079119']"
143,https://openalex.org/W2016301925,2002.0,20.0,"['https://openalex.org/A5077079119', 'https://openalex.org/A5056106335']"
155,https://openalex.org/W2070504776,2001.0,17.0,"['https://openalex.org/A5071093940', 'https://openalex.org/A5077079119']"
156,https://openalex.org/W2624672405,2006.0,12.0,"['https://openalex.org/A5053594805', 'https://openalex.org/A5077079119', 'https://openalex.org/A5020092544']"
260,https://openalex.org/W3119614971,2021.0,250.0,"['https://openalex.org/A5058770372', 'https://openalex.org/A5030641600']"
261,https://openalex.org/W2056489215,2015.0,48.0,"['https://openalex.org/A5077296929', 'https://openalex.org/A5030641600']"
262,https://openalex.org/W2618972206,2017.0,35.0,"['https://openalex.org/A5052536455', 'https://openalex.org/A5030641600']"
263,https://openalex.org/W2468864813,2016.0,19.0,"['https://openalex.org/A5007623580', 'https://openalex.org/A5030641600']"
264,https://openalex.org/W2477040552,2016.0,18.0,"['https://openalex.org/A5077296929', 'https://openalex.org/A5030641600']"
265,https://openalex.org/W2886567424,2018.0,11.0,"['https://openalex.org/A5026583508', 'https://openalex.org/A5030641600', 'https://openalex.org/A5084521578', 'https://openalex.org/A5036201536']"
273,https://openalex.org/W3197529009,2021.0,71.0,"['https://openalex.org/A5062663565', 'https://openalex.org/A5102757449', 'https://openalex.org/A5003017476', 'https://openalex.org/A5073313211']"
274,https://openalex.org/W4229447387,2022.0,52.0,"['https://openalex.org/A5062663565', 'https://openalex.org/A5081369567']"
275,https://openalex.org/W4220809563,2022.0,41.0,"['https://openalex.org/A5076159734', 'https://openalex.org/A5054865304', 'https://openalex.org/A5062663565', 'https://openalex.org/A5008288695', 'https://openalex.org/A5073313211']"
276,https://openalex.org/W4382794852,2023.0,23.0,"['https://openalex.org/A5008288695', 'https://openalex.org/A5062663565', 'https://openalex.org/A5073313211', 'https://openalex.org/A5076159734', 'https://openalex.org/A5054865304']"
277,https://openalex.org/W2770360381,2017.0,68.0,"['https://openalex.org/A5062663565', 'https://openalex.org/A5056852711']"
278,https://openalex.org/W3121129965,2021.0,50.0,"['https://openalex.org/A5062663565', 'https://openalex.org/A5102757449', 'https://openalex.org/A5073313211']"
279,https://openalex.org/W4281390190,2022.0,29.0,"['https://openalex.org/A5065258960', 'https://openalex.org/A5062663565', 'https://openalex.org/A5081369567']"
280,https://openalex.org/W1489032983,2010.0,75.0,"['https://openalex.org/A5069264465', 'https://openalex.org/A5062663565']"
281,https://openalex.org/W2943927905,2019.0,53.0,"['https://openalex.org/A5056852711', 'https://openalex.org/A5062663565', 'https://openalex.org/A5033157076']"
282,https://openalex.org/W3013991021,2020.0,41.0,"['https://openalex.org/A5062663565', 'https://openalex.org/A5056852711']"
283,https://openalex.org/W4362473977,2023.0,13.0,"['https://openalex.org/A5076159734', 'https://openalex.org/A5054865304', 'https://openalex.org/A5008288695', 'https://openalex.org/A5002918911', 'https://openalex.org/A5062663565', 'https://openalex.org/A5036979277']"
284,https://openalex.org/W2912992786,2019.0,40.0,"['https://openalex.org/A5057467969', 'https://openalex.org/A5062663565', 'https://openalex.org/A5056852711']"
285,https://openalex.org/W3203347996,2021.0,28.0,"['https://openalex.org/A5062663565', 'https://openalex.org/A5102757449', 'https://openalex.org/A5073313211']"
286,https://openalex.org/W3217432469,2021.0,27.0,"['https://openalex.org/A5076159734', 'https://openalex.org/A5062663565', 'https://openalex.org/A5054865304', 'https://openalex.org/A5008288695', 'https://openalex.org/A5073313211']"
288,https://openalex.org/W4311446760,2022.0,15.0,"['https://openalex.org/A5076159734', 'https://openalex.org/A5054865304', 'https://openalex.org/A5062663565', 'https://openalex.org/A5073061598']"
292,https://openalex.org/W3196951966,2021.0,17.0,"['https://openalex.org/A5026170977', 'https://openalex.org/A5062663565', 'https://openalex.org/A5008288695']"
293,https://openalex.org/W4200575917,2021.0,17.0,"['https://openalex.org/A5062663565', 'https://openalex.org/A5073313211', 'https://openalex.org/A5008288695', 'https://openalex.org/A5076159734', 'https://openalex.org/A5054865304']"
296,https://openalex.org/W2901013959,2018.0,16.0,"['https://openalex.org/A5062663565', 'https://openalex.org/A5033157076', 'https://openalex.org/A5083370977', 'https://openalex.org/A5008288695']"
297,https://openalex.org/W3116932543,2020.0,14.0,"['https://openalex.org/A5066597217', 'https://openalex.org/A5062663565', 'https://openalex.org/A5076573805']"
307,https://openalex.org/W2936285431,2019.0,60.0,"['https://openalex.org/A5084955495', 'https://openalex.org/A5061923992', 'https://openalex.org/A5090730667', 'https://openalex.org/A5042192372']"
308,https://openalex.org/W2186969405,2021.0,46.0,"['https://openalex.org/A5061923992', 'https://openalex.org/A5101849355', 'https://openalex.org/A5100429506']"
309,https://openalex.org/W2098993874,2009.0,65.0,"['https://openalex.org/A5061923992', 'https://openalex.org/A5047387491', 'https://openalex.org/A5041256271', 'https://openalex.org/A5006225383', 'https://openalex.org/A5101849355']"
310,https://openalex.org/W2798797339,2018.0,30.0,"['https://openalex.org/A5083126896', 'https://openalex.org/A5061923992', 'https://openalex.org/A5063752021', 'https://openalex.org/A5112865214', 'https://openalex.org/A5084955495', 'https://openalex.org/A5044849571']"
311,https://openalex.org/W2963132053,2019.0,25.0,"['https://openalex.org/A5084955495', 'https://openalex.org/A5061923992', 'https://openalex.org/A5090730667', 'https://openalex.org/A5042192372']"
313,https://openalex.org/W1909046735,2014.0,23.0,"['https://openalex.org/A5061923992', 'https://openalex.org/A5052381671']"
314,https://openalex.org/W2294420157,2021.0,13.0,"['https://openalex.org/A5061923992', 'https://openalex.org/A5084955495']"
333,https://openalex.org/W2930996042,2019.0,118.0,"['https://openalex.org/A5042192372', 'https://openalex.org/A5090730667', 'https://openalex.org/A5084955495']"
334,https://openalex.org/W2141627821,2014.0,69.0,"['https://openalex.org/A5084955495', 'https://openalex.org/A5081008532', 'https://openalex.org/A5061810530', 'https://openalex.org/A5067688305', 'https://openalex.org/A5062093738']"
339,https://openalex.org/W1966733160,2013.0,19.0,"['https://openalex.org/A5084955495', 'https://openalex.org/A5081008532', 'https://openalex.org/A5062093738']"
358,https://openalex.org/W2082396928,2011.0,446.0,"['https://openalex.org/A5059236838', 'https://openalex.org/A5068484674', 'https://openalex.org/A5062403203', 'https://openalex.org/A5038976962']"
359,https://openalex.org/W3104221309,2019.0,388.0,"['https://openalex.org/A5047569245', 'https://openalex.org/A5014189381', 'https://openalex.org/A5083506441', 'https://openalex.org/A5016767305', 'https://openalex.org/A5109447741', 'https://openalex.org/A5007374520', 'https://openalex.org/A5059236838']"
360,https://openalex.org/W1780764807,2014.0,174.0,"['https://openalex.org/A5103810699', 'https://openalex.org/A5021346979', 'https://openalex.org/A5059236838']"
363,https://openalex.org/W2217150212,2016.0,62.0,"['https://openalex.org/A5001536187', 'https://openalex.org/A5082461253', 'https://openalex.org/A5059236838']"
364,https://openalex.org/W2001130345,2011.0,74.0,"['https://openalex.org/A5076045006', 'https://openalex.org/A5113556639', 'https://openalex.org/A5059236838', 'https://openalex.org/A5100366248', 'https://openalex.org/A5033142056']"
366,https://openalex.org/W2964320510,2014.0,38.0,"['https://openalex.org/A5103810699', 'https://openalex.org/A5021346979', 'https://openalex.org/A5059236838']"
368,https://openalex.org/W1889213102,2006.0,53.0,"['https://openalex.org/A5059236838', 'https://openalex.org/A5006225383', 'https://openalex.org/A5086073834', 'https://openalex.org/A5041099730']"
369,https://openalex.org/W2049406449,2014.0,33.0,"['https://openalex.org/A5046684626', 'https://openalex.org/A5059236838']"
370,https://openalex.org/W2092098450,2005.0,38.0,"['https://openalex.org/A5041099730', 'https://openalex.org/A5039489344', 'https://openalex.org/A5059236838', 'https://openalex.org/A5006225383']"
371,https://openalex.org/W2336005335,2017.0,21.0,"['https://openalex.org/A5100673750', 'https://openalex.org/A5101593330', 'https://openalex.org/A5035916726', 'https://openalex.org/A5059236838']"
372,https://openalex.org/W2730211792,2017.0,17.0,"['https://openalex.org/A5034041314', 'https://openalex.org/A5019049697', 'https://openalex.org/A5023967203', 'https://openalex.org/A5059236838']"
374,https://openalex.org/W2782793867,2018.0,12.0,"['https://openalex.org/A5015080044', 'https://openalex.org/A5059236838']"
404,https://openalex.org/W2167928095,2007.0,14540.0,"['https://openalex.org/A5045613469', 'https://openalex.org/A5012295433']"
405,https://openalex.org/W2089402107,2000.0,13605.0,"['https://openalex.org/A5045613469', 'https://openalex.org/A5103803105']"
406,https://openalex.org/W2582377764,2009.0,12109.0,['https://openalex.org/A5045613469']
407,https://openalex.org/W2016378690,1985.0,2014.0,['https://openalex.org/A5045613469']
408,https://openalex.org/W1989502263,1992.0,1604.0,"['https://openalex.org/A5045613469', 'https://openalex.org/A5000500012']"
409,https://openalex.org/W2120268201,1988.0,1505.0,"['https://openalex.org/A5112677260', 'https://openalex.org/A5045613469']"
410,https://openalex.org/W2153310220,2007.0,1103.0,"['https://openalex.org/A5109296610', 'https://openalex.org/A5045613469', 'https://openalex.org/A5088606859']"
411,https://openalex.org/W2042410443,2009.0,1063.0,"['https://openalex.org/A5023317104', 'https://openalex.org/A5045613469']"
412,https://openalex.org/W3125751770,1995.0,1024.0,"['https://openalex.org/A5108424992', 'https://openalex.org/A5045613469']"
413,https://openalex.org/W64107909,2001.0,864.0,"['https://openalex.org/A5045613469', 'https://openalex.org/A5109813180']"
414,https://openalex.org/W2026303193,2009.0,756.0,"['https://openalex.org/A5109296610', 'https://openalex.org/A5045613469', 'https://openalex.org/A5088606859']"
